,archetype_category,IECC_climate_code,TYPEHUQ,cluster_count,best_prediction_accuracy,bic
12,construction,2A,5,14,0.2882352941176471,6216.493124969977
13,construction,2A,5,15,0.22941176470588237,7207.5659498561945
14,construction,2A,5,16,0.29411764705882354,8091.138774742412
15,construction,2A,5,17,0.24117647058823527,8964.376638691127
16,construction,2A,5,18,0.22941176470588234,9849.390869827344
17,construction,2A,5,19,0.2058823529411765,10570.262522838559
18,construction,2A,5,20,0.19411764705882356,11428.152730537277
0,systems,2A,5,2,0.9882352941176471,-437.5791153784885
1,systems,2A,5,3,0.6470588235294118,-1815.783439864832
2,systems,2A,5,4,0.7470588235294118,-487.66794013242725
3,systems,2A,5,5,0.5823529411764705,2748.0920908499793
4,systems,2A,5,6,0.5882352941176471,3549.398020269884
5,systems,2A,5,7,0.44117647058823534,5616.424652814792
6,systems,2A,5,8,0.4882352941176471,5016.702261922197
7,systems,2A,5,9,0.5352941176470589,4817.978894467102
8,systems,2A,5,10,0.5647058823529412,6502.33755826201
9,systems,2A,5,11,0.5588235294117647,9535.739190806918
10,systems,2A,5,12,0.5529411764705883,12254.586135851823
11,systems,2A,5,13,0.5176470588235295,14196.780737146728
12,systems,2A,5,14,0.49411764705882355,17011.514400941633
13,systems,2A,5,15,0.4235294117647059,19814.679705361537
14,systems,2A,5,16,0.3352941176470588,22680.782509781442
15,systems,2A,5,17,0.33529411764705885,24799.813048576354
16,systems,2A,5,18,0.3,26522.69124362126
